序号	分子	Compound name	Class	母离子质荷比	子离子质荷比	blank004	blank005	blank均值	D3140-CK 0h-1	D3140-CK 0h-2	D3140-CK 0h-3	均值	D3140-CK 24h-1	D3140-CK 24h-2	D3140-CK 24h-3	均值	D3140-Fg 24h-1	D3140-Fg 24h-2	D3140-Fg 24h-3	均值	D3140-CK 48h-1	D3140-CK 48h-2	D3140-CK 48h-3	均值	D3140-Fg 48h-1	D3140-Fg 48h-2	D3140-Fg 48h-3	均值	M03-CK 0h-1	M03-CK 0h-2	M03-CK 0h-3	均值	M03-CK 24h-1	M03-CK 24h-2	M03-CK 24h-3	均值	M03-Fg 24h-1	M03-Fg 24h-2	M03-Fg 24h-3	均值	M03-CK 48h-1	M03-CK 48h-2	M03-CK 48h-3	均值	M03-Fg 48h-1	M03-Fg 48h-2	M03-Fg 48h-3	均值	ZH6218-CK 0h-1	ZH6218-CK 0h-3	均值	ZH6218-CK 24h-1	ZH6218-CK 24h-2	均值	ZH6218-Fg 24h-1	ZH6218-Fg 24h-2	ZH6218-Fg 24h-3	均值	ZH6218-CK 48h-1	ZH6218-CK 48h-2	ZH6218-CK 48h-3	均值	ZH6218-Fg 48h-1	ZH6218-Fg 48h-2	ZH6218-Fg 48h-3	均值	XC2327-CK 0h-1	XC2327-CK 0h-2	XC2327-CK 0h-3	均值	XC2327-CK 24h-1	XC2327-CK 24h-2	XC2327-CK 24h-3	均值	XC2327-Fg 24h-1	XC2327-Fg 24h-2	XC2327-Fg 24h-3	均值	XC2327-CK 48h-1	XC2327-CK 48h-2	XC2327-CK 48h-3	均值	XC2327-Fg 48h-1	XC2327-Fg 48h-2	XC2327-Fg 48h-3	均值	ZNC442-CK 0h-1	ZNC442-CK 0h-2	ZNC442-CK 0h-3	均值	ZNC442-CK 24h-1	ZNC442-CK 24h-2	ZNC442-CK 24h-3	均值	ZNC442-Fg 24h-1	ZNC442-Fg 24h-2	ZNC442-Fg 24h-3	均值	ZNC442-CK 48h-1	ZNC442-CK 48h-2	均值	ZNC442-Fg 48h-1	ZNC442-Fg 48h-2	ZNC442-Fg 48h-3	均值	QR273-CK 0h-1	QR273-CK 0h-2	QR273-CK 0h-3	均值	QR273-CK 24h-1	QR273-CK 24h-2	QR273-CK 24h-3	均值	QR273-Fg 24h-1	QR273-Fg 24h-2	QR273-Fg 24h-3	均值	QR273-CK 48h-1	QR273-CK 48h-2	QR273-CK 48h-3	均值	QR273-Fg 48h-1	QR273-Fg 48h-2	QR273-Fg 48h-3	均值
1	pmb0782	Piperidine	Alkaloids	86.1	69.2	31552	28170	29861	4482921	3272422	4685523	4146955.333	1983638	1697599	2305175	1995470.667	2435711	1889871	1554752	1960111.333	2032778	908477	736452	1225902.333	669654	917086	809477	798739	3474013	6491707	5524542	5163420.667	3799992	5030932	3420173	4083699	1066726	4300723	1124406	2163951.667	7597857	11652067	8508565	9252829.667	1890155	2889851	1146958	1975654.667	2607138	2524865	2566001.5	5075503	2340778	3708140.5	2465678	2159252	1894146	2173025.333	4351028	5249680	3743174	4447960.667	2829916	4291296	3006456	3375889.333	1459631	1088870	3037033	1861844.667	2012650	5175910	5468920	4219160	2230307	3085897	4303038	3206414	3399080	5587557	1647015	3544550.667	1706417	3987049	1236157	2309874.333	1455771	1462496	967147	1295138	2933618	3798338	2677027	3136327.667	1828214	1887511	1752042	1822589	6203523	4067154	5135338.5	3621373	4313029	1896251	3276884.333	5348008	6137880	5058648	5514845.333	2157258	5933827	5517484	4536189.667	1944233	7420343	3971532	4445369.333	4652986	5919900	7333547	5968811	5218910	5878388	7757387	6284895
2	pme2292	Putrescine	Phenolamides	89	72	38826	7063	22944.5	2907580	3163897	1941884	2671120.333	3403035	3706978	2810303	3306772	2339488	5004516	4321137	3888380.333	3703338	2219604	2567831	2830257.667	3560071	4339913	5888536	4596173.333	2881415	5341449	4097853	4106905.667	8034133	5198909	5311479	6181507	7303745	10000793	7983844	8429460.667	2613572	2844568	3526365	2994835	8298041	6827739	9926532	8350770.667	2492271	1937250	2214760.5	944900	1374264	1159582	3351029	2934908	2684062	2989999.667	2686085	3321954	895411	2301150	4058058	4414970	5064713	4512580.333	1604090	2116212	1012582	1577628	1723499	2634293	3115298	2491030	4758583	3830850	5426089	4671840.667	2339402	2963124	1701291	2334605.667	3295810	7379048	3098918	4591258.667	3270260	2995791	2967230	3077760.333	3060739	2756498	3157813	2991683.333	2934217	3975274	4434419	3781303.333	3499513	3049759	3274636	2650215	4220020	3421651	3430628.667	3016509	4347394	2635183	3333028.667	6085466	7955586	5766646	6602566	5251396	6224951	9163142	6879829.667	9211849	7663209	4905572	7260210	8571535	5360871	8778957	7570454.333
4	pmb0829	Phosphoric acid	Organic acids	98.9	80.9	3219487	2966867	3093177	7741793	8382641	7423677	7849370.333	7070256	6647788	6228802	6648948.667	6765036	7522430	8180226	7489230.667	7758436	9877222	7978502	8538053.333	7767987	7763145	8406247	7979126.333	5454804	5005802	5398470	5286358.667	6784548	7176161	7041324	7000677.667	8805993	6929147	9950732	8561957.333	8272147	6229528	7729294	7410323	9819528	10383987	10935409	10379641.33	11372375	10963853	11168114	12553518	12334505	12444011.5	10106797	11605218	7788161	9833392	9610366	6186183	12134459	9310336	10803791	9361133	8016720	9393881.333	6667640	8241900	8931747	7947095.667	8453434	9814500	10694701	9654211.667	7411816	6038023	7243919	6897919.333	9192604	9597827	8838284	9209571.667	4820602	6988103	6342776	6050493.667	9207632	13691047	10426080	11108253	7347308	8990859	8365370	8234512.333	10208384	8818607	6994338	8673776.333	7315335	8116736	7716035.5	6651971	7034757	12243643	8643457	8484357	7868671	9058084	8470370.667	8493467	9480834	7312353	8428884.667	8395914	7646845	10101317	8714692	6330004	7627136	6976724	6977954.667	9173927	7568435	7188543	7976968.333
5	B0952	ACC	Phytohormones	102	56	58818	52536	55677	1467289	1755894	894110	1372431	1559423	2347353	2140237	2015671	2295039	2309650	1416353	2007014	2017648	542957	903344	1154649.667	860668	787388	1489887	1045981	3814704	4830077	4626744	4423841.667	2897951	3508217	4562219	3656129	3193209	4794133	2998473	3661938.333	2845338	3450882	3897237	3397819	2572495	2445644	1869744	2295961	436059	629226	532642.5	519995	496961	508478	830909	467436	484267	594204	597952	1127275	383141	702789.3333	658667	602826	739840	667111	363797	447068	444537	418467.3333	520104	741877	784482	682154.3333	377675	627162	506928	503921.6667	730221	1721307	528492	993340	717537	935504	494751	715930.6667	133413	87309	205330	142017.3333	535898	310517	396766	414393.6667	357389	419119	598025	458177.6667	1294939	551966	923452.5	388527	570334	2235825	1064895.333	3181381	2708951	2426028	2772120	3131654	2356214	2423364	2637077.333	773922	2024405	1336827	1378384.667	3704718	2132785	2269117	2702206.667	1414947	1496289	2420133	1777123
6	pme1842	1,5-Diaminopentane	Phenolamides	103	69	1875	944	1409.5	44675	61870	77054	61199.66667	57059	57671	77638	64122.66667	68891	69922	75822	71545	80371	89810	51551	73910.66667	63139	80338	218836	120771	67217	103412	89650	86759.66667	81170	77886	92480	83845.33333	106141	80556	89307	92001.33333	83821	86717	85623	85387	85097	93308	81339	86581.33333	68450	86595	77522.5	87346	64559	75952.5	87555	84225	67458	79746	87474	82200	70383	80019	77746	82515	94742	85001	90486	111098	88558	96714	107672	104392	88134	100066	73413	75820	117674	88969	96332	102108	84289	94243	111688	244450	97281	151139.6667	84587	121659	64372	90206	82554	62682	77884	74373.33333	74585	88550	91245	84793.33333	95941	54915	75428	82857	92772	106011	93880	107251	93672	118917	106613.3333	91130	96563	67416	85036.33333	64745	101171	108143	91353	133313	98195	77416	102974.6667	117208	77029	70120	88119
8	N1411	Cadaverine	PA	103.123	84.8	9614	9817	9715.5	242306	242748	238162	241072	264463	207729	305821	259337.6667	267337	275183	279939	274153	314860	225618	272726	271068	263035	352374	284931	300113.3333	234645	278844	258907	257465.3333	296746	227379	232416	252180.3333	251777	288033	286403	275404.3333	276343	236649	264566	259186	308281	261330	259088	276233	279435	285089	282262	271874	265551	268712.5	283743	256029	217464	252412	241120	296397	269018	268845	315651	281610	215700	270987	269360	235465	255908	253577.6667	294215	295789	310496	300166.6667	279142	328551	279830	295841	248757	389518	266977	301750.6667	289540	252774	290967	277760.3333	280254	236118	274464	263612	265414	314208	269847	283156.3333	257917	308408	293971	286765.3333	263349	228137	245743	265176	283070	226407	258217.6667	298590	284036	262985	281870.3333	315016	252474	242118	269869.3333	228577	288104	300471	272384	259495	247142	312993	273210	253584	288899	284897	275793.3333
9	M0003	2-Aminoisobutyric acid	Amino acid and derivatives	104	58	548139	636601	592370	86276832	111307536	116625632	104736666.7	95014832	98690080	114117736	102607549.3	79024448	125949640	113172400	106048829.3	110735440	124363280	103342816	112813845.3	72317432	107842856	101025792	93728693.33	128608624	119378424	104264552	117417200	105736856	66216188	111410048	94454364	119410088	87121384	126583472	111038314.7	52116908	76495632	87278992	71963844	126624696	144751936	129477288	133617973.3	121126344	124423392	122774868	93508368	125883944	109696156	139132592	129695776	76885864	115238077.3	108063328	57812828	75206288	80360814.67	112125440	103230416	110234560	108530138.7	79488192	148528336	129400424	119138984	142351632	112859136	116537848	123916205.3	158182720	129403352	150936912	146174328	106235416	151201440	141984064	133140306.7	123840416	148300448	145479920	139206928	41704780	99506592	62515300	67908890.67	58674872	119405912	117102392	98394392	89747176	127307968	113453608	110169584	107997528	123248280	115622904	46941396	119195936	123724136	96620489.33	89148168	117038336	92077136	99421213.33	96356312	81969472	131609904	103311896	121279744	92331528	94171536	102594269.3	76046192	92588280	85381000	84671824	79306600	45287024	52782052	59125225.33
10	pme3017	2-Aminoisobutyric acid	Amino acid derivatives	104	58	548139	636601	592370	86276832	111307536	116625632	104736666.7	95014832	98690080	114117736	102607549.3	79024448	125949640	113172400	106048829.3	110735440	124363280	103342816	112813845.3	72317432	107842856	101025792	93728693.33	128608624	119378424	104264552	117417200	105736856	66216188	111410048	94454364	119410088	87121384	126583472	111038314.7	52116908	76495632	87278992	71963844	126624696	144751936	129477288	133617973.3	121126344	124423392	122774868	93508368	125883944	109696156	139132592	129695776	76885864	115238077.3	108063328	57812828	75206288	80360814.67	112125440	103230416	110234560	108530138.7	79488192	148528336	129400424	119138984	142351632	112859136	116537848	123916205.3	158182720	129403352	150936912	146174328	106235416	151201440	141984064	133140306.7	123840416	148300448	145479920	139206928	41704780	99506592	62515300	67908890.67	58674872	119405912	117102392	98394392	89747176	127307968	113453608	110169584	107997528	123248280	115622904	46941396	119195936	123724136	96620489.33	89148168	117038336	92077136	99421213.33	96356312	81969472	131609904	103311896	121279744	92331528	94171536	102594269.3	76046192	92588280	85381000	84671824	79306600	45287024	52782052	59125225.33
11	pme0009	L-Serine	Amino acids	104	73.7	7544	2788	5166	1190559	1449112	2025710	1555127	1176142	937879	1302055	1138692	1471626	937949	1235806	1215127	912578	851974	917576	894042.6667	516741	496432	720890	578021	1521323	1554982	1853348	1643217.667	1574749	1561379	1742182	1626103.333	1410860	2284008	1669883	1788250.333	1114108	1299675	1378482	1264088.333	1196600	2424848	1109526	1576991.333	1330010	1215944	1272977	1225409	1530496	1377952.5	1534292	1087159	1174545	1265332	1025690	1252913	902906	1060503	1435942	1174337	1198544	1269607.667	737450	899509	484382	707113.6667	991901	522221	364310	626144	568950	709195	513962	597369	613468	612967	736993	654476	597298	304498	778218	560004.6667	1013830	1210809	1089220	1104619.667	950721	957556	1005982	971419.6667	649248	1793039	1167200	1203162.333	670209	1008906	839557.5	648332	1106114	472342	742262.6667	2511425	3264879	2693867	2823390.333	3168080	2942892	3408411	3173127.667	1861436	2848243	3273584	2661087.667	1894414	2575942	2942879	2471078.333	2691338	1900420	2434926	2342228
12	pme3011	γ-aminobutyric acid	Organic acids	104.1	68.8	3950	15603	9776.5	699064	847935	884227	810408.6667	595807	449810	553457	533024.6667	119071	360325	314580	264658.6667	672216	594983	746233	671144	111282	277694	3500862	1296612.667	231661	117875	264051	204529	182571	133369	199428	171789.3333	249868	110612	128787	163089	119344	255639	256238	210407	140877	188568	81973	137139.3333	413805	254946	334375.5	125451	454636	290043.5	1000683	2272598	836841	1370040.667	1271999	1142499	270627	895041.6667	3947398	4622857	3824450	4131568.333	50520	255494	237826	181280	535511	834276	727160	698982.3333	300662	285382	1027180	537741.3333	654957	394226	717757	588980	1756675	1998644	1241848	1665722.333	145154	303575	79859	176196	2447066	2686399	3305141	2812868.667	6248145	368555	2617507	3078069	5238168	4455867	4847017.5	2220198	1607293	384956	1404149	228055	487483	521956	412498	794368	830366	433636	686123.3333	507324	899037	554449	653603.3333	597610	532376	247017	459001	714037	435282	311748	487022.3333
13	pmb0484	Choline	Cholines	104.1	60.1	1022201	1177579	1099890	151751712	174432960	177594496	167926389.3	162622576	159010096	179774672	167135781.3	122331536	191138256	169676736	161048842.7	175198656	191659776	166982048	177946826.7	123161016	172524016	139104864	144929965.3	187915152	191146688	166318560	181793466.7	169747824	114339096	180726176	154937698.7	185749568	130223256	194031728	170001517.3	100295912	133881488	143242048	125806482.7	193675808	201415760	186668016	193919861.3	191539056	192471616	192005336	135131952	179466112	157299032	200487488	196013968	123086864	173196106.7	173166000	99489272	124051192	132235488	191459504	165454704	170283808	175732672	121136568	219513600	199424448	180024872	208027088	175719280	183960544	189235637.3	220878496	206626352	214750544	214085130.7	175675088	221539296	209364320	202192901.3	191876352	209418096	212011888	204435445.3	74799928	162938720	104785512	114174720	103884800	187000240	180093152	156992730.7	152186896	192076560	184821904	176361786.7	167293024	191511888	179402456	85199672	175705120	178483280	146462690.7	151579424	182693664	147943584	160738890.7	152383808	131436848	202404704	162075120	173820976	157551536	158937328	163436613.3	141186816	155554608	146139600	147627008	134212600	85040832	81988968	100414133.3
14	pme3012	γ-aminobutyric acid	Organic acids	104.1	87	18850	23248	21049	1322761	1644374	1530505	1499213.333	1093108	778442	1093985	988511.6667	307032	578618	626692	504114	1337722	990506	1382424	1236884	227546	552731	6745509	2508595.333	399835	217266	464856	360652.3333	384472	306299	345317	345362.6667	442945	217030	242226	300733.6667	223714	535765	464939	408139.3333	234556	280666	158451	224557.6667	717259	529009	623134	235930	642967	439448.5	1822067	4291924	1937692	2683894.333	2380444	2331813	611534	1774597	6653899	8417552	6978613	7350021.333	91479	485302	487487	354756	897295	1537642	1515927	1316954.667	478013	452679	1842505	924399	1122744	863284	1142297	1042775	3018240	3316384	2203748	2846124	204215	515678	143989	287960.6667	5012110	5624218	5756013	5464113.667	12313388	709501	5015513	6012800.667	11285987	8563436	9924711.5	4377215	3246174	729613	2784334	475563	906504	1086062	822709.6667	1329415	1660669	921266	1303783.333	806701	1771667	1093759	1224042.333	1134666	1000611	539324	891533.6667	1632942	712614	747737	1031097.667
