序号	分子	Compound name	Class	母离子质荷比	子离子质荷比	blank004	blank005	blank均值	D3140-CK 0h-1	D3140-CK 0h-2	D3140-CK 0h-3	均值	D3140-CK 24h-1	D3140-CK 24h-2	D3140-CK 24h-3	均值	D3140-Fg 24h-1	D3140-Fg 24h-2	D3140-Fg 24h-3	均值	D3140-CK 48h-1	D3140-CK 48h-2	D3140-CK 48h-3	均值	D3140-Fg 48h-1	D3140-Fg 48h-2	D3140-Fg 48h-3	均值	M03-CK 0h-1	M03-CK 0h-2	M03-CK 0h-3	均值	M03-CK 24h-1	M03-CK 24h-2	M03-CK 24h-3	均值	M03-Fg 24h-1	M03-Fg 24h-2	M03-Fg 24h-3	均值	M03-CK 48h-1	M03-CK 48h-2	M03-CK 48h-3	均值	M03-Fg 48h-1	M03-Fg 48h-2	M03-Fg 48h-3	均值	ZH6218-CK 0h-1	ZH6218-CK 0h-3	均值	ZH6218-CK 24h-1	ZH6218-CK 24h-2	均值	ZH6218-Fg 24h-1	ZH6218-Fg 24h-2	ZH6218-Fg 24h-3	均值	ZH6218-CK 48h-1	ZH6218-CK 48h-2	ZH6218-CK 48h-3	均值	ZH6218-Fg 48h-1	ZH6218-Fg 48h-2	ZH6218-Fg 48h-3	均值	XC2327-CK 0h-1	XC2327-CK 0h-2	XC2327-CK 0h-3	均值	XC2327-CK 24h-1	XC2327-CK 24h-2	XC2327-CK 24h-3	均值	XC2327-Fg 24h-1	XC2327-Fg 24h-2	XC2327-Fg 24h-3	均值	XC2327-CK 48h-1	XC2327-CK 48h-2	XC2327-CK 48h-3	均值	XC2327-Fg 48h-1	XC2327-Fg 48h-2	XC2327-Fg 48h-3	均值	ZNC442-CK 0h-1	ZNC442-CK 0h-2	ZNC442-CK 0h-3	均值	ZNC442-CK 24h-1	ZNC442-CK 24h-2	ZNC442-CK 24h-3	均值	ZNC442-Fg 24h-1	ZNC442-Fg 24h-2	ZNC442-Fg 24h-3	均值	ZNC442-CK 48h-1	ZNC442-CK 48h-2	均值	ZNC442-Fg 48h-1	ZNC442-Fg 48h-2	ZNC442-Fg 48h-3	均值	QR273-CK 0h-1	QR273-CK 0h-2	QR273-CK 0h-3	均值	QR273-CK 24h-1	QR273-CK 24h-2	QR273-CK 24h-3	均值	QR273-Fg 24h-1	QR273-Fg 24h-2	QR273-Fg 24h-3	均值	QR273-CK 48h-1	QR273-CK 48h-2	QR273-CK 48h-3	均值	QR273-Fg 48h-1	QR273-Fg 48h-2	QR273-Fg 48h-3	均值
15	N1057	Malonate	Organic acids	105	61	110429	142743	126586	6085826	8086158	8924494	7698826	7025783	7479484	8997033	7834100	8738077	9962774	8418862	9039904.333	8331548	9710744	7612133	8551475	8199492	8588110	7599579	8129060.333	10171109	9718871	8262984	9384321.333	8137769	7929540	8678077	8248462	9262273	8612678	10149855	9341602	6421305	5397503	5951691	5923499.667	9833919	11590738	9870042	10431566.33	9551622	10028601	9790111.5	9624270	9797085	9710677.5	11155240	10942470	8788288	10295332.67	8554311	7561824	8452367	8189500.667	9925385	7859884	8555347	8780205.333	9980527	12482200	9714291	10725672.67	11621147	9158174	8851242	9876854.333	13072420	10254886	12195899	11841068.33	8134802	12490077	11128516	10584465	9618793	12390625	11599382	11202933.33	5184800	7968701	7295496	6816332.333	7824837	9318671	9787469	8976992.333	6976982	10300125	9329166	8868757.667	8295463	9461448	8878455.5	6615669	9411144	9738956	8588589.667	7119503	9262311	6928965	7770259.667	7586541	6213071	10356969	8052193.667	9895698	7132424	7466255	8164792.333	5776532	7057203	6548421	6460718.667	6283043	6024340	6400397	6235926.667
16	pme0010	L-Serine	Amino acids	106	60	139426	178864	159145	6415171	7591914	8098608	7368564.333	7245732	6938097	7220397	7134742	11237875	5376809	8479968	8364884	6282394	4383160	6191020	5618858	2664221	2996588	6909060	4189956.333	11973232	11644813	15243128	12953724.33	10942695	11291666	13130429	11788263.33	9798098	17309048	9886012	12331052.67	9512064	9967728	11537359	10339050.33	7985479	10338356	5352812	7892215.667	6097336	4486413	5291874.5	5579837	5498519	5539178	7305827	6009121	6251685	6522211	5370049	5721537	3794531	4962039	6059203	6303127	5562962	5975097.333	4587719	3887022	2400203	3624981.333	5260922	3181808	2046291	3496340.333	2091439	3427868	2351586	2623631	3902655	2843086	3452482	3399407.667	2966484	1701472	3359018	2675658	5247339	5427889	5505465	5393564.333	5186067	5135576	5140089	5153910.667	4484112	7440440	4681271	5535274.333	3873812	5127199	4500505.5	3510666	5091540	1725647	3442617.667	14665343	16032744	15713926	15470671	13373164	16964444	18758806	16365471.33	8029823	14054013	15685932	12589922.67	12122007	15286837	12889210	13432684.67	13490214	10816309	14800666	13035729.67
17	B1395	L-Serine	AA	106.0498	60.154	63177	54274	58725.5	884137	1101625	1105601	1030454.333	1386099	855065	1254758	1165307.333	1891386	921765	1263040	1358730.333	753568	895618	1040305	896497	773390	553413	897602	741468.3333	1922195	1803963	2323324	2016494	1237623	1610779	1735943	1528115	1894834	2671497	1654596	2073642.333	1364122	2093965	1442833	1633640	1651299	1740798	1113688	1501928.333	1387814	1214092	1300953	919647	956017	937832	1062355	795780	899940	919358.3333	471615	822733	601565	631971	492843	822941	712767	676183.6667	790679	618070	505816	638188.3333	936642	703543	381707	673964	395225	601994	399147	465455.3333	511456	416555	735445	554485.3333	419231	202019	519837	380362.3333	1063517	1283746	950290	1099184.333	718196	604213	883789	735399.3333	519270	1180328	574471	758023	542678	607784	575231	310189	719380	298423	442664	2393046	2124304	2465565	2327638.333	2476137	2882094	2483553	2613928	1270568	2411234	2289028	1990276.667	2662574	2753967	1567564	2328035	2010340	1318350	1736944	1688544.667
18	pme0257	Uracil	Nucleotide and its derivates	111	80	25789	15015	20402	59096	83231	116663	86330	39959	29591	77256	48935.33333	28038	63576	57445	49686.33333	72647	71882	49688	64739	61887	59882	80458	67409	250142	83242	97382	143588.6667	81656	32540	137705	83967	140501	75166	221094	145587	107351	85793	100591	97911.66667	116937	200944	116858	144913	49173	106761	77967	96869	205176	151022.5	142673	75802	38163	85546	93875	50958	59216	68016.33333	130654	38742	68047	79147.66667	48547	127720	67208	81158.33333	93739	66825	74205	78256.33333	115841	92044	134524	114136.3333	110487	112404	133454	118781.6667	49524	141180	94164	94956	142385	48270	80561	90405.33333	107527	104913	104531	105657	147883	143194	168419	153165.3333	151120	80943	116031.5	138371	146796	221011	168726	40285	80335	48072	56230.66667	106090	75271	93971	91777.33333	93794	55192	49453	66146.33333	221458	67783	98086	129109	79481	66809	105275	83855
19	N1010	Cytosine	Nucleotide and its derivates	112	95	17292	18921	18106.5	855966	373368	1684155	971163	593323	913443	436193	647653	6037537	3694223	2391442	4041067.333	1589531	1008122	2995666	1864439.667	2589117	2060251	4089945	2913104.333	1240547	1744190	1810624	1598453.667	2250964	1904409	1327659	1827677.333	1943777	4634166	3265984	3281309	1944251	1796678	5195188	2978705.667	12426360	4190836	7030348	7882514.667	1132478	1639499	1385988.5	1671577	716823	1194200	1156687	1598481	1881450	1545539.333	2308311	1180697	1319911	1602973	1836909	2890877	3063691	2597159	6492782	2651601	6186919	5110434	7040423	5832079	4971168	5947890	4951331	2373065	7547329	4957241.667	3081861	1281496	1263487	1875614.667	2897100	3279182	2622895	2933059	624637	806327	689329	706764.3333	879604	378908	255857	504789.6667	1830106	471319	610302	970575.6667	6480336	2283221	4381778.5	3222895	1289744	4368788	2960475.667	1936147	869049	2808606	1871267.333	2380110	2899068	2152038	2477072	3094979	3379953	4695528	3723486.667	1083553	3699908	1310454	2031305	3020920	3383287	2198919	2867708.667
20	A0922	Histamine	Phenolamides	112.08	95	38615	20226	29420.5	1015218	386547	1526291	976018.6667	574634	889316	361294	608414.6667	6005608	3166259	2545922	3905929.667	1872026	909648	3116787	1966153.667	2663716	3221001	3780576	3221764.333	1480978	1913829	1523912	1639573	2136691	1743829	1396767	1759095.667	2380156	4624091	3274377	3426208	1842878	1446273	5781618	3023589.667	13063777	4933728	6265736	8087747	1577031	1381826	1479428.5	1819783	796512	1308147.5	1088635	1657863	2038988	1595162	1728674	1215979	1296842	1413831.667	1742119	3259086	3390478	2797227.667	6036527	3121141	6895913	5351193.667	6789517	10182919	5671123	7547853	5232351	2295817	7150953	4893040.333	3538976	1223279	1267003	2009752.667	3063122	3389892	2805297	3086103.667	744509	803116	609278	718967.6667	878968	409688	299631	529429	1580332	551885	766134	966117	5725382	2148554	3936968	3657957	1454225	4831012	3314398	1716765	714720	2656814	1696099.667	2470374	2818687	2253190	2514083.667	3109853	3543975	4982739	3878855.667	1236018	5027475	1419263	2560918.667	4109219	3106639	2601621	3272493
21	pme1935	Creatinine	Organic acids	112.1	68	372	693	532.5	118046	106050	118618	114238	99914	101298	107577	102929.6667	93640	92823	93348	93270.33333	106197	92329	91208	96578	77344	71932	63628	70968	70193	77108	87364	78221.66667	74545	73238	93017	80266.66667	87881	54624	68866	70457	92503	93939	98733	95058.33333	56125	63212	59456	59597.66667	138522	173930	156226	117831	141187	129509	111956	98147	83847	97983.33333	111555	123363	125636	120184.6667	111017	97659	94497	101057.6667	108105	106990	141371	118822	109653	119540	115321	114838	85937	123705	88799	99480.33333	120640	129966	115482	122029.3333	62870	84281	97610	81587	169070	143368	149904	154114	120598	142683	140653	134644.6667	156265	138795	120959	138673	147931	118897	133414	126297	123545	157016	135619.3333	159203	179765	163189	167385.6667	151035	147166	136119	144773.3333	128608	154988	124021	135872.3333	217702	128173	168879	171584.6667	130457	132408	142261	135042
22	pme2123	Histamine	Amino acid derivatives	112.1	83	2888	2433	2660.5	227288	225532	242871	231897	203920	187143	212230	201097.6667	288703	291878	218731	266437.3333	260505	225538	270745	252262.6667	263410	251956	302172	272512.6667	262548	242441	242659	249216	218524	238784	219352	225553.3333	307711	279014	259430	282051.6667	243153	238077	217366	232865.3333	376005	307845	302985	328945	241173	198912	220042.5	214345	237522	225933.5	287251	212539	252076	250622	205024	243638	216867	221843	281610	240635	170824	231023	254836	277321	268710	266955.6667	278515	298082	233062	269886.3333	278267	275295	274225	275929	295688	284401	231620	270569.6667	269609	254962	238855	254475.3333	324487	264789	257615	282297	239963	227494	213144	226867	279134	275595	225194	259974.3333	290828	246085	268456.5	310590	252460	230511	264520.3333	261214	244630	312114	272652.6667	298590	221574	225680	248614.6667	289699	284600	277266	283855	328451	230963	246887	268767	268160	292130	280883	280391
23	pme0258	Uracil	Nucleotide and its derivates	113	70	33666	16284	24975	4727028	5023492	6962460	5570993.333	3819269	4159221	3061121	3679870.333	8915696	9243846	5965238	8041593.333	4576060	4162584	5383441	4707361.667	4733674	4240522	4607619	4527271.667	3998063	3585741	2098839	3227547.667	3899331	1872210	2283002	2684847.667	4132769	1833671	2875274	2947238	456454	298695	782557	512568.6667	5147474	3529470	3892806	4189916.667	2809146	4798413	3803779.5	1411416	3549993	2480704.5	6352375	4910786	6036159	5766440	2268042	1975108	3202723	2481957.667	3352944	1475578	2262810	2363777.333	3816763	5167267	2398145	3794058.333	3156844	1057078	1021176	1745032.667	2359851	2790765	1435196	2195270.667	2106917	1046798	1608496	1587403.667	2992354	4808458	7888444	5229752	5445035	4430470	4303624	4726376.333	2679233	3346681	2987076	3004330	2768729	3228588	5719926	3905747.667	6185181	5896885	6041033	1633393	1722732	8009357	3788494	4838672	4096208	4630840	4521906.667	2785265	1165495	2306570	2085776.667	4508256	1459766	2092835	2686952.333	3403773	1024313	706650	1711578.667	1668203	531583	646792	948859.3333
24	N0993	Uracil	Nucleotide and its derivates	113	96	46467	18326	32396.5	3964904	3784848	5659730	4469827.333	3051023	3164932	2567153	2927702.667	7860941	7167044	4979129	6669038	3578824	3537053	4246148	3787341.667	4143390	3355035	3895509	3797978	3274225	2974255	1490096	2579525.333	3378956	1588850	1741587	2236464.333	3001601	1762708	2541599	2435302.667	476543	323351	816096	538663.3333	4979107	3039653	3262903	3760554.333	2145574	3762498	2954036	1279803	2959063	2119433	5274660	4239234	4553949	4689281	1969419	1563276	2518991	2017228.667	3200116	1234182	1865509	2099935.667	3436823	4433471	2029872	3300055.333	2921842	1394256	1063348	1793148.667	2337743	2180931	1578941	2032538.333	1922065	969659	1604047	1498590.333	2517632	4539340	5862606	4306526	4721867	3580575	3673093	3991845	2257550	2584876	2295770	2379398.667	2301954	3654528	4510656	3489046	5451236	4534853	4993044.5	1586993	1383303	6573994	3181430	3957916	3579417	3659084	3732139	2265919	1124088	1792751	1727586	3612384	1285056	1868753	2255397.667	2999053	996800	630171	1542008	1428868	577649	512650	839722.3333
25	N1011	Uracil	Nucleotide and its derivates	113.027	70	8874	10831	9852.5	2813033	3355029	4364252	3510771.333	2409758	2752882	1990271	2384303.667	6075410	6169763	3892041	5379071.333	2954534	2597761	3437647	2996647.333	3199673	2876882	2964335	3013630	2742178	2503398	1302518	2182698	2708257	1231386	1522638	1820760.333	2481297	1007220	1808405	1765640.667	282322	143593	290533	238816	2440364	1503295	1783216	1908958.333	1394464	2913333	2153898.5	776281	2427906	1602093.5	3612894	2992091	3996036	3533673.667	1467180	1339054	2206062	1670765.333	2358179	1083810	1493721	1645236.667	2542433	3499372	1425154	2488986.333	1927136	509046	500708	978963.3333	1405852	1296930	761881	1154887.667	982620	611121	922605	838782	1728180	3838282	5454301	3673587.667	3755480	3007176	2705384	3156013.333	1939014	2190042	1955257	2028104.333	1861768	2989452	3999463	2950227.667	4557815	3711023	4134419	1172466	1061079	5385438	2539661	3240728	2836682	2820508	2965972.667	1869885	666362	1572000	1369415.667	2852312	741510	1246729	1613517	2437327	581078	420387	1146264	971514	370474	341681	561223
26	pme1872	L-Proline	Amino acids	114.1	86	988	966	977	10062	25139	40626	25275.66667	29013	21440	32814	27755.66667	16444	18566	16483	17164.33333	14572	27394	22067	21344.33333	13689	11850	15562	13700.33333	19137	13855	14535	15842.33333	21300	13166	17410	17292	6509	20877	21834	16406.66667	22772	10563	17436	16923.66667	13795	20280	25915	19996.66667	20974	49272	35123	24297	50060	37178.5	23811	32929	20022	25587.33333	16866	13881	24211	18319.33333	25165	18532	15242	19646.33333	19522	50323	14311	28052	22295	12154	24297	19582	48557	17275	34771	33534.33333	12430	16863	30767	20020	18660	32722	23087	24823	12070	23514	29981	21855	15582	37782	28972	27445.33333	16306	26555	25062	22641	21210	26922	24066	24562	41342	35478	33794	11549	28040	20937	20175.33333	23697	18066	22624	21462.33333	32090	21599	18083	23924	17035	8339	15514	13629.33333	19440	22048	16023	19170.33333
27	pme2169	Fumaric acid	Organic acids	115	71	15314	17151	16232.5	318129	532776	484127	445010.6667	624666	601586	667106	631119.3333	450438	561035	534137	515203.3333	907053	1013669	829558	916760	633890	562051	490470	562137	665007	660837	570526	632123.3333	603232	476129	320632	466664.3333	657647	229923	499099	462223	501825	585782	450660	512755.6667	809136	663234	946782	806384	292588	297850	295219	521094	480233	500663.5	410023	294604	301672	335433	503437	325792	539797	456342	162330	247594	252529	220817.6667	454830	467505	358729	427021.3333	856427	447485	491149	598353.6667	532572	507716	214573	418287	734410	873549	851997	819985.3333	804117	322998	878542	668552.3333	289277	288604	256318	278066.3333	368332	238744	266570	291215.3333	192316	346564	360451	299777	587977	417764	502870.5	392086	618403	686924	565804.3333	199604	248420	350540	266188	258191	229358	216574	234707.6667	481523	315260	376867	391216.6667	390801	397831	269827	352819.6667	528634	414933	353834	432467
28	B1391	L-Proline	AA	116.0706	70.0643	79181	149308	114244.5	23692378	18924054	26138124	22918185.33	21945410	20774332	21029052	21249598	29961332	21294320	23918688	25058113.33	26581154	16031484	20162002	20924880	18441280	19214744	58566508	32074177.33	37034796	45658640	40009640	40901025.33	28414996	30639484	34896124	31316868	23601174	30948516	26095636	26881775.33	28214984	25042872	32576056	28611304	29858488	27256712	26482160	27865786.67	18631638	14203248	16417443	29830532	22469116	26149824	55668664	75758048	86524336	72650349.33	95397160	98711640	17933422	70680740.67	119076712	131029344	134769600	128291885.3	15240312	15790381	13691332	14907341.67	24885176	48116868	48004252	40335432	21158074	19801298	66858712	35939361.33	21975656	24800642	15975511	20917269.67	44290224	124030592	27369990	65230268.67	14503874	21007098	19384358	18298443.33	125277968	100565944	70037136	98627016	100659912	31379878	41837676	57959155.33	113773640	127852064	120812852	62434748	66039688	13577278	47350571.33	50580020	21964376	31163550	34569315.33	61691168	25876516	64544140	50703941.33	29289936	39468400	27147730	31968688.67	18888656	34823264	23615604	25775841.33	28665300	50968140	43098648	40910696
29	pme0006	L-Proline	Amino acids	116.1	70.1	97416	115722	106569	23073662	21058464	29309578	24480568	21982786	23095908	24171344	23083346	32739732	24102174	29557574	28799826.67	28704698	17212932	21535408	22484346	20540698	20379174	65660932	35526934.67	42372548	41486816	41868268	41909210.67	30081724	31441486	37758996	33094068.67	25712424	34801708	28268458	29594196.67	30812078	27600942	34162976	30858665.33	32563578	29434914	28415268	30137920	20475032	14901642	17688337	31426750	23076088	27251419	58074276	79474664	93521648	77023529.33	100931856	107661248	20040494	76211199.33	123348464	145357264	147784592	138830106.7	16775182	15969890	15415520	16053530.67	27728128	52739280	49482524	43316644	22866836	20167934	69754944	37596571.33	25284222	26402838	16869788	22852282.67	48265896	130609968	30901112	69925658.67	16250257	23797736	20341296	20129763	130868288	99646840	73657904	101391010.7	108553040	33703208	46201864	62819370.67	120068368	131418080	125743224	68462024	71234208	14868151	51521461	54507084	21198272	29379358	35028238	66310856	30807484	71085392	56067910.67	32269858	42913800	33027842	36070500	21661232	38741464	26838130	29080275.33	33536636	59675384	44102356	45771458.67